Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Sint Maarten (Dutch part),SXM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sint Maarten (Dutch part),SXM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,21377597034.604,24768142566.4057,33761723945.8299,42960730480.0495,48823790951.4538,57111148619.2975,77019443089.3052,96685492864.2317,89342984697.5246,91112160800.7668,99705104723.4341,94724394278.052,99134277850.3418,101713075598.862,89178548717.3324,90347173228.6356,95978130734.9766,106611673364.837,105843498304.094,107732602896.441,120511265913.343,115792972358.209,133578518423.544,140934076532.375,154530066506.895
Slovak Republic,SVK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.92516077248489,4.41725348271514,4.85669851591319,5.38949856996771,6.48493222274386,8.92568704770216,10.8186295074904,5.36337721231949,-5.50533790972226,6.79058159142423,2.56242473215553,1.56917104702706,0.703323545247201,2.70795151449488,5.17687909722133,1.94781841524558,2.87473327453695,4.06211981896483,2.27589910019393,-2.58551241733207,5.6558588065555,0.544591632137454,2.11263633214959,1.93867445549446,0.807418690144758
Slovak Republic,SVK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.4024390243903,73.6048780487805,73.6048780487805,73.9585365853659,73.9048780487805,74.2048780487805,74.2073170731707,74.7048780487805,74.909756097561,75.1121951219512,75.9585365853659,76.109756097561,76.4121951219512,76.8121951219512,76.5634146341463,77.1658536585366,77.1658536585366,77.2658536585366,77.6658536585366,76.8658536585366,74.6146341463415,76.9658536585366,78.119512195122,78.3707317073171,..
Slovak Republic,SVK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19.148,18.541,17.549,18.206,16.276,13.395,11.16,9.514,12.023,14.387,13.634,13.966,14.226,11.536,11.492,9.679,8.142,6.544,5.761,6.719,6.894,6.143,5.843,5.3,5.359
Slovak Republic,SVK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.32962019115532,3.12714222984609,8.55414305406653,7.54850088183423,2.70908494588383,4.48333120449615,2.75672371638135,4.59817976325028,1.61510464058236,0.957018132975174,3.91928599146291,3.6061026352289,1.40047368963025,-0.0761653295419871,-0.325219777427765,-0.520010196278358,1.31194588223247,2.51403712883803,2.6645613342544,1.93694126694223,3.1496062992126,12.7741463637611,10.5319476645211,2.75760909424279,4.00042823495829
Slovak Republic,SVK,"School enrollment, secondary (% gross)",SE.SEC.ENRR,87.4630432128906,88.5775680541992,91.0334014892578,93.7951812744141,95.3483963012695,95.5382995605469,95.3289337158203,94.7546234130859,94.39501953125,94.7793426513672,94.9994125366211,95.0492630004883,93.529670715332,92.7571029663086,91.8957290649414,91.4534378051758,91.2535934448242,91.7815399169922,91.3246917724609,90.813346862793,91.0899124145508,92.2043075561523,92.6436767578125,93.1929931640625,..
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5378867,5376912,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5446771,5454147,5458827,5447247,5431752,5426740,5422069,5413813
Slovak Republic,SVK,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,7.16911283154777,17.0074822919687,2.87070802571882,9.45863522150628,8.03605835400406,9.98305386037355,6.56747727493293,4.79998733472882,1.7025214117002,2.32222893370545,5.44765747649664,1.87551069035637,1.01266878582834,-0.356803047431846,1.70487122540291,5.27770700739813,4.39986424621101,2.11269531583982,2.15394548631737,-1.05975666677956,2.25677867211963,4.16872005912019,0.393861455912485,3.55503662060591,..
